CodigoRadioCensal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
820841001,55,66,48,22,36,12,1,0,0,0,1,0,0,0,0,0,0,0,0,241
820841002,45,57,52,45,31,11,3,2,2,0,0,0,0,0,0,0,0,0,0,248
820841003,44,44,43,42,27,10,6,4,0,1,0,0,0,0,0,0,0,0,0,221
820841004,61,69,76,75,46,14,3,5,1,1,0,0,0,0,0,0,0,0,0,351
820841005,50,51,66,61,33,4,3,2,0,1,0,0,0,0,0,0,0,1,0,272
820841006,73,61,77,57,39,9,6,4,0,0,0,0,0,0,0,0,0,0,0,326
820841007,62,69,52,43,37,7,5,1,0,1,0,0,0,0,0,0,0,0,0,277
820841008,67,64,59,39,32,6,2,0,2,0,0,0,0,0,0,0,0,0,0,271
820841009,45,52,41,41,19,5,4,0,0,0,0,0,0,0,0,0,0,0,0,207
820841010,48,71,72,79,53,12,5,6,0,1,1,0,0,0,0,0,0,0,0,348
820841011,73,68,46,33,26,9,4,1,0,0,0,0,0,0,0,0,0,0,0,260
820841012,34,44,55,43,23,10,2,0,0,0,0,0,0,0,0,0,0,0,0,211
820841013,60,61,62,42,23,7,1,2,1,0,2,0,0,0,0,0,0,0,0,261
820841014,67,70,60,43,15,5,2,0,1,0,0,0,0,0,0,0,0,0,0,263
820841015,91,89,58,46,30,5,3,1,0,0,0,1,0,0,0,0,0,0,0,324
820841016,39,40,26,21,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,142
820841017,53,53,30,34,16,6,1,0,1,0,0,0,0,0,0,0,0,0,0,194
820841018,17,33,38,42,24,5,3,1,0,0,0,0,0,0,0,0,0,0,0,163
820841019,29,42,56,55,61,7,4,1,1,0,0,0,0,0,0,0,0,0,0,256
820841020,85,80,69,77,86,12,5,3,4,1,0,1,0,0,0,0,0,0,0,423
820841021,37,48,46,55,59,15,10,4,0,0,1,0,0,0,0,0,0,0,0,275
820841022,28,33,56,30,37,6,4,2,1,1,1,0,0,0,0,0,0,0,0,199
820841023,31,39,37,29,14,4,3,1,2,2,0,0,0,0,0,0,0,0,0,162
